Start,End,Day,Tweets,Stock Price,Sentiment Score,Sentiment Prediction,Actual
11/30/2014,12/1/2014,12/1/2014,200,86.22,29,1,-1
12/1/2014,12/2/2014,12/2/2014,200,86.4,57,1,1
12/2/2014,12/3/2014,12/3/2014,200,84.94,10,1,-1
12/3/2014,12/4/2014,12/4/2014,200,84.76,-173,-1,-1
12/4/2014,12/5/2014,12/5/2014,200,84.12,-64,-1,-1

