Start,End,Day,Tweets,Stock Price,Sentiment Score,Sentiment Prediction,Actual
11/30/14,12/01/14,12/01/14,200,533.8,27,1,-1
12/01/14,12/02/14,12/02/14,200,533.75,25,1,-1
12/02/14,12/03/14,12/03/14,200,531.32,102,1,-1
12/03/14,12/04/14,12/04/14,200,537.31,35,1,1
12/04/14,12/05/14,12/05/14,200,525.26,91,1,-1
