"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "539930543203180544" ".  @Eloqua users: check out #cloudwords on the @Oracle Partner Bridge! http://t.co/MrhlYdit0n #OMC #globalization #contentmarketing" "cloudwordsinc" FALSE FALSE 1417564447
"2" "539923689903366144" "RT @SoniaLeliiTT: New @Oracle #ZFS Storage Appliance adds speed, encryption http://t.co/EaiYgrpcZ5" "GkTTStorage" TRUE FALSE 1417562813
"3" "539921103804592129" "RT @Oracle: Which gadgets are predicted to be the top electronics among consumers? #holidayshopping http://t.co/9K6XM9Bsqm http://t.co/gvhJ…" "LynnKaminski" TRUE FALSE 1417562197
"4" "539920084894887936" "RT @Oracle: #Oracle is advancing education, protecting the environment, &amp; enriching community life. #GivingTuesday http://t.co/Ml9T3wabUj" "ForkLiftsCanada" TRUE FALSE 1417561954
"5" "539918447648321537" "RT @Oracle: Shelf Drilling is \"In Sync with the #Cloud\" via @OracleProfit - http://t.co/bNWjqos8Zw" "HyperionEPMInfo" TRUE FALSE 1417561563
"6" "539918213530652672" "RT @Oracle: The Internet of Things 101 - http://t.co/DRAtrQIjch #IoT via @Oraclejavamag" "HyperionEPMInfo" TRUE FALSE 1417561507
"7" "539916978261999617" "RT @Oracle: #Oracle is advancing education, protecting the environment, &amp; enriching community life. #GivingTuesday http://t.co/Ml9T3wabUj" "oraclepartners" TRUE FALSE 1417561213
"8" "539916704814747648" "RT @Oracle: #Oracle is advancing education, protecting the environment, &amp; enriching community life. #GivingTuesday http://t.co/Ml9T3wabUj" "JonPaulDublin" TRUE FALSE 1417561148
"9" "539916542142451713" "RT @keesvdhouten: See how @CTDI enhanced daily forecasting with @Oracle #Planning #Budgeting #Cloud Service http://t.co/T6rpzOHrRz
#EPM" "HyperionEPMInfo" TRUE FALSE 1417561109
"10" "539915212032188416" "RT @PeterBell: Here is @gauravpatni from @oracle presenting at the Melbourne @ctosummit http://t.co/6h6eQkJdio" "ctosummit" TRUE FALSE 1417560792
"11" "539915051390763008" "Here is @gauravpatni from @oracle presenting at the Melbourne @ctosummit http://t.co/6h6eQkJdio" "PeterBell" FALSE FALSE 1417560754
